spec_id,label,is_baseline,exposure_measure,post_type,pre_window,fe_type,factor_set,se_type,coef,se,t,p,nobs,r2,coefficients,f_stat,f_pval,aic,bic,n_fe_dummies
0,Baseline,True,aiie_23_ew_z,post2,60,portfolio_only,ff5,normal,2.357434519288219,1.1098525190244601,2.124097101982848,0.03384218716688111,1386,0.6474919200827374,"{'post_treated': {'coef': np.float64(2.357434519288219), 'se': np.float64(1.1098525190244601), 't': np.float64(2.124097101982848), 'p': np.float64(0.03384218716688111)}, 'mktrf': {'coef': np.float64(1.0243115924755728), 'se': np.float64(0.029201410177826317), 't': np.float64(35.077470102912), 'p': np.float64(1.7659588168651538e-192)}, 'smb': {'coef': np.float64(0.7752457863753689), 'se': np.float64(0.0632252359600717), 't': np.float64(12.261651136659353), 'p': np.float64(7.387126164209955e-33)}, 'hml': {'coef': np.float64(0.12589763638231852), 'se': np.float64(0.04891169461819285), 't': np.float64(2.5739782145166266), 'p': np.float64(0.010158800379335519)}, 'rmw': {'coef': np.float64(-0.14791862748548587), 'se': np.float64(0.0712351609411812), 't': np.float64(-2.0764833760623094), 'p': np.float64(0.03803683218491823)}, 'cma': {'coef': np.float64(0.10292604555350915), 'se': np.float64(0.07338106244507046), 't': np.float64(1.4026240847978269), 'p': np.float64(0.16095736215568993)}}",92.45299186280711,1.475703387776614e-284,8465.351817601306,8606.674601454552,21
1,R1: 2021 version,False,aiie_21_ew_z,post2,60,portfolio_only,ff5,normal,2.1437886748441803,1.0732296542582398,1.9975115916134976,0.045968692675289156,1386,0.6787295422214157,"{'post_treated': {'coef': np.float64(2.1437886748441803), 'se': np.float64(1.0732296542582398), 't': np.float64(1.9975115916134976), 'p': np.float64(0.045968692675289156)}, 'mktrf': {'coef': np.float64(1.0492135783491756), 'se': np.float64(0.028237823324984368), 't': np.float64(37.15631924861746), 'p': np.float64(3.970084321188455e-209)}, 'smb': {'coef': np.float64(0.8028076193118373), 'se': np.float64(0.061138932395690626), 't': np.float64(13.130874025016883), 'p': np.float64(3.6148198851034297e-37)}, 'hml': {'coef': np.float64(0.18231932304086546), 'se': np.float64(0.04729770866349752), 't': np.float64(3.854717875193227), 'p': np.float64(0.00012127380580719903)}, 'rmw': {'coef': np.float64(-0.11349937031828827), 'se': np.float64(0.06888454622343308), 't': np.float64(-1.6476753719207655), 'p': np.float64(0.09965047032375662)}, 'cma': {'coef': np.float64(0.04100657016203907), 'se': np.float64(0.07095963736357438), 't': np.float64(0.5778858473012564), 'p': np.float64(0.5634369264250596)}}",106.3363264958392,1.1003317825304e-311,8372.338272521842,8513.661056375087,21
2,R2: VW weighting,False,aiie_23_vw_z,post2,60,portfolio_only,ff5,normal,0.23918713464415686,1.080788631018536,0.22130796695996582,0.8248858936217935,1386,0.5793078951051638,"{'post_treated': {'coef': np.float64(0.23918713464415686), 'se': np.float64(1.080788631018536), 't': np.float64(0.22130796695996582), 'p': np.float64(0.8248858936217935)}, 'mktrf': {'coef': np.float64(0.9733540031151012), 'se': np.float64(0.028436708111132445), 't': np.float64(34.22878623331408), 'p': np.float64(1.079465170366762e-185)}, 'smb': {'coef': np.float64(0.22787807016866282), 'se': np.float64(0.06156954644674169), 't': np.float64(3.7011490796960764), 'p': np.float64(0.00022320346872830367)}, 'hml': {'coef': np.float64(0.11459457568936741), 'se': np.float64(0.04763083613456967), 't': np.float64(2.4058904900516027), 'p': np.float64(0.016265961672055594)}, 'rmw': {'coef': np.float64(0.1585505225448824), 'se': np.float64(0.0693697142226404), 't': np.float64(2.285587079629856), 'p': np.float64(0.02243182033517427)}, 'cma': {'coef': np.float64(0.09986552013275757), 'se': np.float64(0.0714594206556425), 't': np.float64(1.3975137108094102), 'p': np.float64(0.16248723917181093)}}",69.31077870892986,5.607881045224241e-233,8391.79360373795,8533.116387591195,21
3,R3: Post 1m (Dec only),False,aiie_23_ew_z,post1,60,portfolio_only,ff5,normal,-0.8774990232176527,1.5716260527236945,-0.5583383029932023,0.5767053671998461,1386,0.6464027288390573,"{'post_treated': {'coef': np.float64(-0.8774990232176527), 'se': np.float64(1.5716260527236945), 't': np.float64(-0.5583383029932023), 'p': np.float64(0.5767053671998461)}, 'mktrf': {'coef': np.float64(1.020511941801263), 'se': np.float64(0.029349426040332104), 't': np.float64(34.77110388458266), 'p': np.float64(4.9873542242820435e-190)}, 'smb': {'coef': np.float64(0.7907537714938891), 'se': np.float64(0.0631789936472187), 't': np.float64(12.516086848570755), 'p': np.float64(4.271054319966951e-34)}, 'hml': {'coef': np.float64(0.11789209994711786), 'se': np.float64(0.04905106720692853), 't': np.float64(2.4034563702717042), 'p': np.float64(0.01637417990202653)}, 'rmw': {'coef': np.float64(-0.14899798879735657), 'se': np.float64(0.07137184063625066), 't': np.float64(-2.0876299037421577), 'p': np.float64(0.03701709266587295)}, 'cma': {'coef': np.float64(0.11304543600177752), 'se': np.float64(0.07404201987583783), 't': np.float64(1.5267740695262648), 'p': np.float64(0.12704989161178482)}}",92.0131648963538,1.1756931510986082e-283,8469.627724188818,8610.950508042064,21
4,R4: 120m pre-window,False,aiie_23_ew_z,post2,120,portfolio_only,ff5,normal,2.576094105136265,1.0765773693383136,2.3928555239086857,0.016786298193117798,2706,0.5500633832890872,"{'post_treated': {'coef': np.float64(2.576094105136265), 'se': np.float64(1.0765773693383136), 't': np.float64(2.3928555239086857), 'p': np.float64(0.016786298193117798)}, 'mktrf': {'coef': np.float64(0.9986234936982883), 'se': np.float64(0.0244198763627895), 't': np.float64(40.89388000423991), 'p': np.float64(1.711235123317113e-284)}, 'smb': {'coef': np.float64(0.715973925321029), 'se': np.float64(0.045639065791131694), 't': np.float64(15.687742790303844), 'p': np.float64(3.9499093695210716e-53)}, 'hml': {'coef': np.float64(0.13788838537334885), 'se': np.float64(0.039363059450565355), 't': np.float64(3.502989536332101), 'p': np.float64(0.00046759930136858576)}, 'rmw': {'coef': np.float64(-0.09753721867158413), 'se': np.float64(0.05564579641618003), 't': np.float64(-1.7528227638633167), 'p': np.float64(0.07974681131338257)}, 'cma': {'coef': np.float64(0.08864050807861151), 'se': np.float64(0.060719890133779625), 't': np.float64(1.4598265557351382), 'p': np.float64(0.14445499692245486)}}",121.30266625551009,0.0,16395.35573114077,16554.742854976503,21
5,R5: FF5 factors,False,aiie_23_ew_z,post2,60,portfolio_only,ff5,normal,2.357434519288219,1.1098525190244601,2.124097101982848,0.03384218716688111,1386,0.6474919200827374,"{'post_treated': {'coef': np.float64(2.357434519288219), 'se': np.float64(1.1098525190244601), 't': np.float64(2.124097101982848), 'p': np.float64(0.03384218716688111)}, 'mktrf': {'coef': np.float64(1.0243115924755728), 'se': np.float64(0.029201410177826317), 't': np.float64(35.077470102912), 'p': np.float64(1.7659588168651538e-192)}, 'smb': {'coef': np.float64(0.7752457863753689), 'se': np.float64(0.0632252359600717), 't': np.float64(12.261651136659353), 'p': np.float64(7.387126164209955e-33)}, 'hml': {'coef': np.float64(0.12589763638231852), 'se': np.float64(0.04891169461819285), 't': np.float64(2.5739782145166266), 'p': np.float64(0.010158800379335519)}, 'rmw': {'coef': np.float64(-0.14791862748548587), 'se': np.float64(0.0712351609411812), 't': np.float64(-2.0764833760623094), 'p': np.float64(0.03803683218491823)}, 'cma': {'coef': np.float64(0.10292604555350915), 'se': np.float64(0.07338106244507046), 't': np.float64(1.4026240847978269), 'p': np.float64(0.16095736215568993)}}",92.45299186280711,1.475703387776614e-284,8465.351817601306,8606.674601454552,21
6,R6: FF3 + MOM,False,aiie_23_ew_z,post2,60,portfolio_only,ff3_mom,normal,1.9245316892265438,1.128164522869019,1.7058963034330268,0.08825571309154454,1386,0.6474124867521193,"{'post_treated': {'coef': np.float64(1.9245316892265438), 'se': np.float64(1.128164522869019), 't': np.float64(1.7058963034330268), 'p': np.float64(0.08825571309154454)}, 'mktrf': {'coef': np.float64(0.9640015748356949), 'se': np.float64(0.028959515016532853), 't': np.float64(33.28790465880906), 'p': np.float64(3.237600586474172e-178)}, 'smb': {'coef': np.float64(0.777189463720018), 'se': np.float64(0.05502069658583557), 't': np.float64(14.125402111322892), 'p': np.float64(2.242484009732519e-42)}, 'hml': {'coef': np.float64(0.1225005147166953), 'se': np.float64(0.03337721471465015), 't': np.float64(3.670183859377774), 'p': np.float64(0.0002517510826043647)}, 'mom': {'coef': np.float64(-0.0961313450770368), 'se': np.float64(0.03815008406411214), 't': np.float64(-2.5198200065689433), 'p': np.float64(0.01185525054793876)}}",96.04609318475723,1.734410541384753e-285,8463.664100354934,8599.75270702843,21
7,R7: FF5 + MOM,False,aiie_23_ew_z,post2,60,portfolio_only,ff5_mom,normal,1.5829295221593416,1.1294003626956886,1.4015663306333241,0.1612732894888174,1386,0.650403089162342,"{'post_treated': {'coef': np.float64(1.5829295221593416), 'se': np.float64(1.1294003626956886), 't': np.float64(1.4015663306333241), 'p': np.float64(0.1612732894888174)}, 'mktrf': {'coef': np.float64(0.994843968374574), 'se': np.float64(0.03038240365380185), 't': np.float64(32.74408370418994), 'p': np.float64(8.01195744213619e-174)}, 'smb': {'coef': np.float64(0.7181444265937204), 'se': np.float64(0.06523549262047443), 't': np.float64(11.00849242868027), 'p': np.float64(4.660973840340863e-27)}, 'hml': {'coef': np.float64(0.07216291311038237), 'se': np.float64(0.05128039499891206), 't': np.float64(1.4072222554431053), 'p': np.float64(0.15959032367120318)}, 'rmw': {'coef': np.float64(-0.17663621385226383), 'se': np.float64(0.07147849517292591), 't': np.float64(-2.471179806247079), 'p': np.float64(0.013588770100415629)}, 'cma': {'coef': np.float64(0.1740853305343671), 'se': np.float64(0.07610533291273941), 't': np.float64(2.287426174640997), 'p': np.float64(0.022324153038303565)}, 'mom': {'coef': np.float64(-0.13425079003089066), 'se': np.float64(0.039922436924462956), 't': np.float64(-3.362790460033938), 'p': np.float64(0.0007930651008286456)}}",90.23120298400434,5.446234046727983e-286,8455.85808512401,8602.415046157004,21
8,R8: CAPM only,False,aiie_23_ew_z,post2,60,portfolio_only,capm,normal,3.337801788375558,1.8339165646608877,1.8200401548762695,0.06897197319687104,1386,0.01775259841658583,"{'post_treated': {'coef': np.float64(3.337801788375558), 'se': np.float64(1.8339165646608877), 't': np.float64(1.8200401548762695), 'p': np.float64(0.06897197319687104)}}",1.120553844229083,0.31605355691496634,9875.682579282164,9990.83447723666,21
9,R9: Clustered SE (month),False,aiie_23_ew_z,post2,60,portfolio_only,ff5,cluster_month,2.357434519288219,2.2119585383079263,1.0657679510989284,0.28652855186583737,1386,0.6474919200827374,"{'post_treated': {'coef': np.float64(2.357434519288219), 'se': np.float64(2.2119585383079263), 't': np.float64(1.0657679510989284), 'p': np.float64(0.28652855186583737)}, 'mktrf': {'coef': np.float64(1.0243115924755728), 'se': np.float64(0.03777019549210196), 't': np.float64(27.119573492537633), 'p': np.float64(5.78778513848872e-162)}, 'smb': {'coef': np.float64(0.7752457863753689), 'se': np.float64(0.07451858260134585), 't': np.float64(10.40338878320758), 'p': np.float64(2.3926942573326558e-25)}, 'hml': {'coef': np.float64(0.12589763638231852), 'se': np.float64(0.06472604414155553), 't': np.float64(1.9450846726702629), 'p': np.float64(0.05176478831127723)}, 'rmw': {'coef': np.float64(-0.14791862748548587), 'se': np.float64(0.08387490601681283), 't': np.float64(-1.7635623634062303), 'p': np.float64(0.07780568897473866)}, 'cma': {'coef': np.float64(0.10292604555350915), 'se': np.float64(0.1021623831057828), 't': np.float64(1.0074749866292334), 'p': np.float64(0.31370657209339803)}}",91.86728746492001,2.114500168992972e-40,8465.351817601306,8606.674601454552,21
