ff49,ff49_abbrev,ff49_name,portfolio_va,n_naics,aiie_21_ew,aiie_21_ew_z,aiie_21_vw,aiie_21_vw_z,aiie_23_ew,aiie_23_ew_z,aiie_23_vw,aiie_23_vw_z,expwb_21_ew,expwb_21_ew_z,expwb_21_vw,expwb_21_vw_z,expwb_23_ew,expwb_23_ew_z,expwb_23_vw,expwb_23_vw_z
1,Agric,Agriculture,1229300000000.0,3,-1.367917,-1.4412901384732997,-1.4408467627104857,-1.486001297433149,-1.2770045,-1.2928963121847938,-1.329485900227772,-1.3194328060007094,-0.6319187447363198,-1.6970815133550834,-0.6793959466831602,-1.774068944689671,-0.5869805622812371,-1.5448235986700096,-0.6252538071864794,-1.6045820448889847
2,Food,Food Products,2145500000000.0,7,-1.0173587,-1.0733272828130023,-1.0173587,-1.0582223649828162,-0.9963102428571429,-0.9936956502012738,-0.9963102428571429,-0.9790866054287697,-0.42254983175274485,-1.1996554972272753,-0.4225498317527449,-1.1832221575381974,-0.41604060775726875,-1.135680351657675,-0.41604060775726875,-1.1211002801240688
3,Soda,Candy & Soda,306500000000.0,1,-0.7729946,-0.8168309680577719,-0.7729946,-0.8113823167459665,-0.7428267,-0.7234997274318753,-0.7428267,-0.7201476379189893,-0.273908631486143,-0.8465085136210132,-0.273908631486143,-0.8412891069267296,-0.252606180701255,-0.7445015172797699,-0.252606180701255,-0.7434110834961054
4,Beer,Beer & Liquor,3884200000000.0,1,-0.6586424,-0.6968013979034282,-0.6586424,-0.6958714763074982,-0.5721259,-0.541544482315753,-0.5721259,-0.5457730477310805,-0.23304261995943132,-0.7494176082946815,-0.23304261995943132,-0.7472812547122073,-0.18891534834216922,-0.5920580816366369,-0.18891534834216922,-0.5962245956820971
5,Smoke,Tobacco Products,3884200000000.0,1,-0.8843057,-0.9336684533567619,-0.8843057,-0.9238212441223561,-0.9705914,-0.9662811427345575,-0.9705914,-0.9528142465217141,-0.15136996777412215,-0.5553768530354822,-0.15136996777412215,-0.5594021265622519,-0.17845862124619943,-0.5670299991787873,-0.17845862124619943,-0.5720595961322708
6,Toys,Recreation,2430300000000.0,2,0.24679445000000005,0.25358867686035363,-0.4502360313747274,-0.48535349071006817,0.09891850000000002,0.17374243072625528,-0.5862231941159528,-0.5601737411327967,0.15966026524269572,0.18357969739087912,-0.12268951524763803,-0.4934258386440388,0.1147868705933244,0.1348504537385497,-0.1757914342562872,-0.5658958537089486
7,Fun,Entertainment,1370500000000.0,11,0.03668639090909085,0.03304915056662893,0.02928526963881795,-0.0009735794514975506,0.17069024545454548,0.25024614679901974,0.1294814507187158,0.1709341630986316,0.16491937553903688,0.19607447632346567,0.1413262511287483,0.11391395842894214,0.20650335778609216,0.3543730427032767,0.15951415486228115,0.20897943334213515
8,Books,Printing and Publishing,391100000000.0,2,0.5639173,0.5864560757527265,1.1834835988238301,1.1649193289213764,0.47134214999999996,0.5707202804070474,1.1076026990539505,1.1701063511173309,0.38225242511147106,0.7124219678453059,0.6738974765589729,1.3390366259842652,0.35917113827581926,0.7197820051525738,0.6645211228841413,1.3760265450154259
9,Hshld,Consumer Goods,7957800000000.0,5,-0.47215496,-0.5010552097025546,-0.8558601080537335,-0.8950874354813071,-0.59432436,-0.5652065051680211,-0.9991325840847973,-0.9819696885481382,-0.04022036267481036,-0.2913037178653761,-0.25473243002259033,-0.797176323567795,-0.08211515855539926,-0.33643278588539854,-0.306306621569849,-0.8675102511902868
10,Clths,Apparel,7790400000000.0,4,-0.769425775,-0.8130849576556451,-0.8167581990937565,-0.8555893377908786,-0.9196392,-0.911969621990626,-0.8628500655678785,-0.8427541235586137,-0.2154917776017611,-0.7077197006671628,-0.35745476000673754,-1.0334779653360182,-0.2593636642008117,-0.7606754933893355,-0.36266433735466097,-0.9977502549763771
