naics_4,aiie_21,aiie_23,emp,wagebill,expwb_21,expwb_23
1133,-1.360161,-1.73983,45190.0,2176310800.0,-0.7718738103846381,-0.9703755052260367
1151,-2.165304,-1.93639,331550.0,11651176200.0,-1.1088000054838367,-1.0137307368797839
1152,-1.149307,-1.034116,30400.0,1190010100.0,-0.5318207270698291,-0.4639702195872371
2111,0.6686154,0.4488801,102230.0,10551826600.0,0.3070043459124347,0.21019442385958748
2121,-1.146242,-1.38403,34100.0,2442102700.0,-0.33033309408167805,-0.4223043822575193
2122,-0.8924032,-1.112581,38730.0,2621595300.0,-0.3741052629001738,-0.4847869995608056
2123,-1.037903,-1.219409,93300.0,5002464900.0,-0.4194771204407051,-0.4988781990901665
2131,-0.9810408,-1.103578,207620.0,13432581100.0,-0.19241122738331132,-0.255254331324533
2211,0.2096187,0.0499917,372150.0,34521539800.0,0.08563547848684346,0.012346953312460003
2212,0.3453538,0.2033846,106010.0,9681981500.0,0.10942929768796296,0.04208778822827022
2213,-0.1564226,-0.2695695,51910.0,3005580200.0,-0.025014539622040345,-0.06972807791965425
2361,-0.7602519,-0.7263659,822310.0,48614363800.0,-0.23028566284756727,-0.23673255212230815
2362,-0.6632232,-0.7161099,772770.0,56775479500.0,-0.11650347143261097,-0.1736014945397733
2371,-1.176381,-1.218836,535330.0,34255371800.0,-0.4857806279340915,-0.5334092478098338
2372,0.5814018,0.4659384,31100.0,2423445200.0,0.5834894573318059,0.5133188354669295
2373,-1.296256,-1.362089,353170.0,22672050500.0,-0.5696329533573203,-0.6318583412541697
2379,-1.104619,-1.16696,114980.0,7303622500.0,-0.47853343157000106,-0.5416386533353498
2381,-1.757023,-1.621387,927400.0,51747689400.0,-0.8660503138795778,-0.8178040898082829
2382,-0.8320791,-0.9264848,2236520.0,139606825700.0,-0.4282826651798918,-0.48356397254143724
2383,-1.602616,-1.44051,804780.0,43576528000.0,-0.805417942545276,-0.7326003430644993
2389,-1.358564,-1.392268,706330.0,38915211900.0,-0.6467720208539026,-0.6885584385381707
3111,-0.78914,-0.8605075,65510.0,3158521500.0,-0.2551355016552934,-0.28324073037669045
3112,-0.7206286,-0.7862635,61430.0,3527987800.0,-0.2475043109201058,-0.28335230173869935
3113,-0.7729946,-0.7428267,72510.0,3083905200.0,-0.273908631486143,-0.252606180701255
3114,-0.980808,-0.9997897,167670.0,7540866400.0,-0.39569286805337645,-0.41247885060498485
3115,-0.8435335,-0.8946212,151460.0,7449209400.0,-0.3816981056161141,-0.4039298156472162
3116,-1.662866,-1.515035,518230.0,19868847600.0,-0.8403355590883781,-0.7662464271026463
3117,-1.258223,-1.162078,27830.0,1140120200.0,-0.47047578827010517,-0.4335774140653065
3118,-0.8015609,-0.7666731,292890.0,11348574700.0,-0.3627961996291755,-0.3481621381646596
3119,-0.8538909,-0.8497112,232550.0,11246950700.0,-0.25934599069195885,-0.26453730697736855
